"author","year","journal","title","doi","species","pft","country","site_geographic","lat","log","elevation","map","mat","extraction_method","measurement_method","Bar_Precip_Season","Bar_GW_use","Eva_RootD95","Eva_RootZoneStorage","Eva_DWT","Eva_PET","Eva_MAP","Eva_RUNOFF","Eva_AET","Eva_ARIDITY_INDEX","Mig_Geology","Mig_Soil","Mig_KG_Water_stress_class","OBS"
"Gaines",2016,"Tree Physiology","Reliance on shallow soil water in a mixed-hardwood forest in central Pennsylvania","10.1093/treephys/tpv113","Carya glabra","Broadleaved deciduous angiosperm tree","USA","Susquehanna Shale Hills Critical Zone Observatory, PA",40.65,-77.9,280,1006,99999,"Cryogenic vacuum distillation","IRMS",99999,99999,1,163.6999969,8.25,1025,980,456.2666016,523.7334,0.9541,"shale","loam","Cf","Soil water is a combination of lysimeter water and cryogenically extracted from bulk soil. KG climate classification is dubious: falls in between warm temperate fully humid warm summer and Snow fully humid warm summer"
"Gaines",2016,"Tree Physiology","Reliance on shallow soil water in a mixed-hardwood forest in central Pennsylvania","10.1093/treephys/tpv113","Carya tomentosa","Broadleaved deciduous angiosperm tree","USA","Susquehanna Shale Hills Critical Zone Observatory, PA",40.65,-77.9,280,1006,99999,"Cryogenic vacuum distillation","IRMS",99999,99999,1,163.6999969,8.25,1025,980,456.2666016,523.7334,0.9541,"shale","loam","Cf","Soil water is a combination of lysimeter water and cryogenically extracted from bulk soil. KG climate classification is dubious: falls in between warm temperate fully humid warm summer and Snow fully humid warm summer"
"Gaines",2016,"Tree Physiology","Reliance on shallow soil water in a mixed-hardwood forest in central Pennsylvania","10.1093/treephys/tpv113","Pinus strobus","Evergreen narrow-leaved conifer","USA","Susquehanna Shale Hills Critical Zone Observatory, PA",40.65,-77.9,280,1006,99999,"Cryogenic vacuum distillation","IRMS",99999,99999,1,163.6999969,8.25,1025,980,456.2666016,523.7334,0.9541,"shale","loam","Cf","Soil water is a combination of lysimeter water and cryogenically extracted from bulk soil. KG climate classification is dubious: falls in between warm temperate fully humid warm summer and Snow fully humid warm summer"
"Gaines",2016,"Tree Physiology","Reliance on shallow soil water in a mixed-hardwood forest in central Pennsylvania","10.1093/treephys/tpv113","Pinus virginiana","Evergreen narrow-leaved conifer","USA","Susquehanna Shale Hills Critical Zone Observatory, PA",40.65,-77.9,280,1006,99999,"Cryogenic vacuum distillation","IRMS",99999,99999,1,163.6999969,8.25,1025,980,456.2666016,523.7334,0.9541,"shale","loam","Cf","Soil water is a combination of lysimeter water and cryogenically extracted from bulk soil. KG climate classification is dubious: falls in between warm temperate fully humid warm summer and Snow fully humid warm summer"
"Gaines",2016,"Tree Physiology","Reliance on shallow soil water in a mixed-hardwood forest in central Pennsylvania","10.1093/treephys/tpv113","Quercus alba","Broadleaved deciduous angiosperm tree","USA","Susquehanna Shale Hills Critical Zone Observatory, PA",40.65,-77.9,280,1006,99999,"Cryogenic vacuum distillation","IRMS",99999,99999,1,163.6999969,8.25,1025,980,456.2666016,523.7334,0.9541,"shale","loam","Cf","Soil water is a combination of lysimeter water and cryogenically extracted from bulk soil. KG climate classification is dubious: falls in between warm temperate fully humid warm summer and Snow fully humid warm summer"
"Gaines",2016,"Tree Physiology","Reliance on shallow soil water in a mixed-hardwood forest in central Pennsylvania","10.1093/treephys/tpv113","Quercus prinus","Broadleaved deciduous angiosperm tree","USA","Susquehanna Shale Hills Critical Zone Observatory, PA",40.65,-77.9,280,1006,99999,"Cryogenic vacuum distillation","IRMS",99999,99999,1,163.6999969,8.25,1025,980,456.2666016,523.7334,0.9541,"shale","loam","Cf","Soil water is a combination of lysimeter water and cryogenically extracted from bulk soil. KG climate classification is dubious: falls in between warm temperate fully humid warm summer and Snow fully humid warm summer"
"Gaines",2016,"Tree Physiology","Reliance on shallow soil water in a mixed-hardwood forest in central Pennsylvania","10.1093/treephys/tpv113","Quercus rubra","Broadleaved deciduous angiosperm tree","USA","Susquehanna Shale Hills Critical Zone Observatory, PA",40.65,-77.9,280,1006,99999,"Cryogenic vacuum distillation","IRMS",99999,99999,1,163.6999969,8.25,1025,980,456.2666016,523.7334,0.9541,"shale","loam","Cf","Soil water is a combination of lysimeter water and cryogenically extracted from bulk soil. KG climate classification is dubious: falls in between warm temperate fully humid warm summer and Snow fully humid warm summer"
"Gaines",2016,"Tree Physiology","Reliance on shallow soil water in a mixed-hardwood forest in central Pennsylvania","10.1093/treephys/tpv113","Quercus velutina","Broadleaved deciduous angiosperm tree","USA","Susquehanna Shale Hills Critical Zone Observatory, PA",40.65,-77.9,280,1006,99999,"Cryogenic vacuum distillation","IRMS",99999,99999,1,163.6999969,8.25,1025,980,456.2666016,523.7334,0.9541,"shale","loam","Cf","Soil water is a combination of lysimeter water and cryogenically extracted from bulk soil. KG climate classification is dubious: falls in between warm temperate fully humid warm summer and Snow fully humid warm summer"
"Gierke",2016,"Hydrogeology Journal","Soil-water dynamics and tree water uptake in the Sacramento Mountains of New Mexico (USA): a stable isotope study","10.1007/s10040-016-1403-1","Pseudotsuga menziesii","Evergreen narrow-leaved conifer","USA","Three L Canyon, Alamogordo, Sacramento Mountains, NM",32.91694,-105.573,2500,99999,99999,"Cryogenic vacuum distillation","CRDS",99999,99999,1,110.6999969,4.83,1172,490,99999,490,0.4223,"limstone","loam","BS","Mobile soil water collected with passive capillary wick samlers"
"Song_Lining",2016,"Environmental and Experimental Botany","Water use patterns of Pinus sylvestris var. mongolica trees of different ages in a semiarid sandy lands of Northeast China","10.1016/j.envexpbot.2016.02.006","Pinus sylvestris","Evergreen narrow-leaved conifer","China","Experimental Base of the Institute of Wind-Sand Land Improvement and Utilization, Zhanggutai, Liaoning Prov.",42.7167,122.3667,226,474,7.7,"Cryogenic vacuum distillation","IRMS",99999,99999,0.3,99.90000153,99999,924,495,99999,495,0.5357,"eoliand sand","sand","Dw","Mean (and se) of d18O and d2H for soil water provided for specific depths (besides the dual plot). Sampling of plant plantations of different ages. No evident enrichment on any soil water samples. No evident offset."
