Review_label;Autor;Year;Geographic_range;Km2;Ecosystem type*;Ecosystem nature;Review_type;N_studies;Time_range;Variables;Variable_type;Factor_Label;Factor
70;Andrew G. Baker;2016;Byron Shire, Australia;809444;Forests;Terrestrial;Review;60;10;Lack of specific and communal requirements on EMR planning elaboration;Barrier;19; Context-specific factor consideration
70;Andrew G. Baker;2016;Byron Shire, Australia;809444;Forests;Terrestrial;Review;60;10;Lack of templates or checklists on decision making;Barrier;16; Project planning and goal definition
70;Andrew G. Baker;2016;Byron Shire, Australia;809444;Forests;Terrestrial;Review;60;10;Poor application of policy plans;Barrier;4; Policies and governance
70;Andrew G. Baker;2016;Byron Shire, Australia;809444;Forests;Terrestrial;Review;60;10;Site history information;Booster;10; Knowledge on ecosystem structure and function
70;Andrew G. Baker;2016;Byron Shire, Australia;809444;Forests;Terrestrial;Review;60;10;Clear identification and remediation of fire exclusion threats;Booster;14; Restoration techniques
98;Stephanie Mansourian;2014;Bulgaria, Armenia, Azerbaijan, Georgia, China, Madagascar, Malaysia, New Caledonia, Paraguay, Portugal, Tanzania and Vietnam;12536998;Forests;Terrestrial;Review;45;10;Engaging stakeholders ;Booster;5; Societal integration
98;Stephanie Mansourian;2014;Bulgaria, Armenia, Azerbaijan, Georgia, China, Madagascar, Malaysia, New Caledonia, Paraguay, Portugal, Tanzania and Vietnam;12536998;Forests;Terrestrial;Review;45;10;Trade-off between stakeholders;Booster;5; Societal integration
98;Stephanie Mansourian;2014;Bulgaria, Armenia, Azerbaijan, Georgia, China, Madagascar, Malaysia, New Caledonia, Paraguay, Portugal, Tanzania and Vietnam;12536998;Forests;Terrestrial;Review;45;10;Addressing socioeconomic needs;Booster;5; Societal integration
98;Stephanie Mansourian;2014;Bulgaria, Armenia, Azerbaijan, Georgia, China, Madagascar, Malaysia, New Caledonia, Paraguay, Portugal, Tanzania and Vietnam;12536998;Forests;Terrestrial;Review;45;10;Lack of flexibility of the restoration programme;Barrier;16; Project planning and goal definition
98;Stephanie Mansourian;2014;Bulgaria, Armenia, Azerbaijan, Georgia, China, Madagascar, Malaysia, New Caledonia, Paraguay, Portugal, Tanzania and Vietnam;12536998;Forests;Terrestrial;Review;45;10;Lack of knowledge of indiginous species;Barrier;10; Knowledge on ecosystem structure and function
98;Stephanie Mansourian;2014;Bulgaria, Armenia, Azerbaijan, Georgia, China, Madagascar, Malaysia, New Caledonia, Paraguay, Portugal, Tanzania and Vietnam;12536998;Forests;Terrestrial;Review;45;10;Unclear land rights tenure;Barrier;2; Land-tenure rights
98;Stephanie Mansourian;2014;Bulgaria, Armenia, Azerbaijan, Georgia, China, Madagascar, Malaysia, New Caledonia, Paraguay, Portugal, Tanzania and Vietnam;12536998;Forests;Terrestrial;Review;45;10;Lack of long-term funding;Barrier;18; Temporal scale of the restoration projects
98;Stephanie Mansourian;2014;Bulgaria, Armenia, Azerbaijan, Georgia, China, Madagascar, Malaysia, New Caledonia, Paraguay, Portugal, Tanzania and Vietnam;12536998;Forests;Terrestrial;Review;45;10;Integration of restoration project in existing framework;Booster;4; Policies and governance
98;Stephanie Mansourian;2014;Bulgaria, Armenia, Azerbaijan, Georgia, China, Madagascar, Malaysia, New Caledonia, Paraguay, Portugal, Tanzania and Vietnam;12536998;Forests;Terrestrial;Review;45;10;Attaching economical value to ecosystem;Booster;1; Socioeconomic knowledge
98;Stephanie Mansourian;2014;Bulgaria, Armenia, Azerbaijan, Georgia, China, Madagascar, Malaysia, New Caledonia, Paraguay, Portugal, Tanzania and Vietnam;12536998;Forests;Terrestrial;Review;45;10;Lack of monitoring program;Barrier;15; Success assessment and evaluation
104;Weimin Xi;2014;China;9596961;Forests;Terrestrial;Review;14;10;Funding restrictions;Barrier;6; Funding
104;Weimin Xi;2014;China;9596961;Forests;Terrestrial;Review;14;10;Unclear land-tenure rights;Barrier;2; Land-tenure rights
104;Weimin Xi;2014;China;9596961;Forests;Terrestrial;Review;14;10;Gap between success evaluation source;Barrier;15; Success assessment and evaluation
104;Weimin Xi;2014;China;9596961;Forests;Terrestrial;Review;14;10;Wrong selection of tree species in reforestation program;Barrier;14; Restoration techniques
104;Weimin Xi;2014;China;9596961;Forests;Terrestrial;Review;14;10;Lack of a standardized evaluation method;Barrier;15; Success assessment and evaluation
109;James Blignaut;2013;India, Ethiopia, Kenya, Tanzania and Uganda ;6160268;Several;All kinds;Systematic Review;1575;10;Weak link between ecological restoration and payment for ecosystem services;Barrier;7; Payment for ecosystem services
109;James Blignaut;2013;India, Ethiopia, Kenya, Tanzania and Uganda ;6160268;Several;All kinds;Systematic Review;1575;10;Lack of integration of policies issues;Barrier;4; Policies and governance
112;Andrew J. LoSchiavo;2013;Everglades, South Florida;20202;Wetlands;Aquatic;Review;24;10;Establishment of mandate/authority;Booster;4; Policies and governance
112;Andrew J. LoSchiavo;2013;Everglades, South Florida;20202;Wetlands;Aquatic;Review;24;10;Integration within institutional framework;Booster;4; Policies and governance
112;Andrew J. LoSchiavo;2013;Everglades, South Florida;20202;Wetlands;Aquatic;Review;24;10;Lack of integration within a science framework;Barrier;9; Integration of existing scientific knowledge 
112;Andrew J. LoSchiavo;2013;Everglades, South Florida;20202;Wetlands;Aquatic;Review;24;10;Long-term funding;Barrier;18; Temporal scale of the restoration projects
112;Andrew J. LoSchiavo;2013;Everglades, South Florida;20202;Wetlands;Aquatic;Review;24;10;Establishment of peer review mechanism;Booster;9; Integration of existing scientific knowledge 
124;J. Cortina;2011;Iberian south-east;505370;Arid zones;Terrestrial;Review;55;10;Limited temporal scale of restoration projects;Barrier;18; Temporal scale of the restoration projects
124;J. Cortina;2011;Iberian south-east;505370;Arid zones;Terrestrial;Review;55;10;Conceptual difficulties at selecting reference site;Barrier;16; Project planning and goal definition
124;J. Cortina;2011;Iberian south-east;505370;Arid zones;Terrestrial;Review;55;10;Plant establishment techniques;Barrier;14; Restoration techniques
124;J. Cortina;2011;Iberian south-east;505370;Arid zones;Terrestrial;Review;55;10;Biological soil crusts;Booster;24; Intrinsic biotic factors
124;J. Cortina;2011;Iberian south-east;505370;Arid zones;Terrestrial;Review;55;10;Recruitment bottlenecks;Barrier;24; Intrinsic biotic factors
124;J. Cortina;2011;Iberian south-east;505370;Arid zones;Terrestrial;Review;55;10;Seed germination ;Barrier;24; Intrinsic biotic factors
124;J. Cortina;2011;Iberian south-east;505370;Arid zones;Terrestrial;Review;55;10;Gap between experiments and projects;Barrier;9; Integration of existing scientific knowledge 
124;J. Cortina;2011;Iberian south-east;505370;Arid zones;Terrestrial;Review;55;10;Lack of social involvement;Barrier;5; Societal integration
126;Shixiong Cao;2011;China;9596961;Arid zones;Terrestrial;Review;36;10;Bad plannification of the reforestation project;Barrier;16; Project planning and goal definition
126;Shixiong Cao;2011;China;9596961;Arid zones;Terrestrial;Review;36;10;Lack of integration of climate conditions in the reforestation project. ;Barrier;19; Context-specific factor consideration
126;Shixiong Cao;2011;China;9596961;Arid zones;Terrestrial;Review;36;10;Underconsideration of several factors during reforestation program;Barrier;16; Project planning and goal definition
126;Shixiong Cao;2011;China;9596961;Arid zones;Terrestrial;Review;36;10;Lack of integration of knowledge about structure and composition;Barrier;9; Integration of existing scientific knowledge 
127;Philip J. Burton ;2011;Global;54870139;Forests;Terrestrial;Review;279;10;Main focus on tree species during reforestation;Barrier;16; Project planning and goal definition
127;Philip J. Burton ;2011;Global;54870139;Forests;Terrestrial;Review;279;10;Limitted research onto several techniques;Barrier;13; Research about restoration practices
127;Philip J. Burton ;2011;Global;54870139;Forests;Terrestrial;Review;279;10;Limitted research onto several processes ;Barrier;10; Knowledge on ecosystem structure and function
127;Philip J. Burton ;2011;Global;54870139;Forests;Terrestrial;Review;279;10;Lack of economical costs discussion;Barrier;1; Socioeconomic knowledge
127;Philip J. Burton ;2011;Global;54870139;Forests;Terrestrial;Review;279;10;Thinning of tree layer and elimination of non-target species;Booster;14; Restoration techniques
132;James Aronson;2010;Global;54870139;Several;All kinds;Meta-Analysis;1582;10;Lack of valuation and definition of socioeconomical outcomes;Barrier;1; Socioeconomic knowledge
132;James Aronson;2010;Global;54870139;Several;All kinds;Meta-Analysis;1582;10;Lack of interviews during the monitoring process;Barrier;15; Success assessment and evaluation
132;James Aronson;2010;Global;54870139;Several;All kinds;Meta-Analysis;1582;10;Lack of payment for ecosystem services;Barrier;7; Payment for ecosystem services
146;J.O. Bosire;2008;Qatar, Thailand, Florida (USA), New Zealand, Kenya, Sri Lanka, Malaysia, Indonesia, Cuba;3686271;Wetlands;Aquatic;Review;40;10;Mangroves removal;Barrier;21; Ongoing degradation
146;J.O. Bosire;2008;Qatar, Thailand, Florida (USA), New Zealand, Kenya, Sri Lanka, Malaysia, Indonesia, Cuba;3686271;Wetlands;Aquatic;Review;40;10;Predation;Barrier;24; Intrinsic biotic factors
146;J.O. Bosire;2008;Qatar, Thailand, Florida (USA), New Zealand, Kenya, Sri Lanka, Malaysia, Indonesia, Cuba;3686271;Wetlands;Aquatic;Review;40;10;Foccusing mainly in plantation of mangroves ;Barrier;16; Project planning and goal definition
146;J.O. Bosire;2008;Qatar, Thailand, Florida (USA), New Zealand, Kenya, Sri Lanka, Malaysia, Indonesia, Cuba;3686271;Wetlands;Aquatic;Review;40;10;Lack of framework that considers mangrove plantation fate;Barrier;15; Success assessment and evaluation
146;J.O. Bosire;2008;Qatar, Thailand, Florida (USA), New Zealand, Kenya, Sri Lanka, Malaysia, Indonesia, Cuba;3686271;Wetlands;Aquatic;Review;40;10;Lack of integration of periods of inundation and dryness;Barrier;19; Context-specific factor consideration
146;J.O. Bosire;2008;Qatar, Thailand, Florida (USA), New Zealand, Kenya, Sri Lanka, Malaysia, Indonesia, Cuba;3686271;Wetlands;Aquatic;Review;40;10;Flooding characteristics;Booster;23; Intrinsic abiotic factors
146;J.O. Bosire;2008;Qatar, Thailand, Florida (USA), New Zealand, Kenya, Sri Lanka, Malaysia, Indonesia, Cuba;3686271;Wetlands;Aquatic;Review;40;10;Hydrologic restriction of tidals or freshwater;Barrier;21; Ongoing degradation
146;J.O. Bosire;2008;Qatar, Thailand, Florida (USA), New Zealand, Kenya, Sri Lanka, Malaysia, Indonesia, Cuba;3686271;Wetlands;Aquatic;Review;40;10;Integration of local communities;Booster;5; Societal integration
146;J.O. Bosire;2008;Qatar, Thailand, Florida (USA), New Zealand, Kenya, Sri Lanka, Malaysia, Indonesia, Cuba;3686271;Wetlands;Aquatic;Review;40;10;Lack of assessment of success;Barrier;15; Success assessment and evaluation
146;J.O. Bosire;2008;Qatar, Thailand, Florida (USA), New Zealand, Kenya, Sri Lanka, Malaysia, Indonesia, Cuba;3686271;Wetlands;Aquatic;Review;40;10;Knowledge of reference sites;Booster;10; Knowledge on ecosystem structure and function
147;Jose M. Rey Benayas;2008;Latin America, Sri Lanka, Madagascar, Japan, Mexico, Honduras;25329433;Agroecosystem;Terrestrial;Review;15;10;Dispersal limitation;Barrier;24; Intrinsic biotic factors
147;Jose M. Rey Benayas;2008;Latin America, Sri Lanka, Madagascar, Japan, Mexico, Honduras;25329433;Agroecosystem;Terrestrial;Review;15;10;Low water availability;Barrier;23; Intrinsic abiotic factors
147;Jose M. Rey Benayas;2008;Latin America, Sri Lanka, Madagascar, Japan, Mexico, Honduras;25329433;Agroecosystem;Terrestrial;Review;15;10;Extreme temperatures;Barrier;23; Intrinsic abiotic factors
147;Jose M. Rey Benayas;2008;Latin America, Sri Lanka, Madagascar, Japan, Mexico, Honduras;25329433;Agroecosystem;Terrestrial;Review;15;10;Poor soil structure ;Barrier;23; Intrinsic abiotic factors
147;Jose M. Rey Benayas;2008;Latin America, Sri Lanka, Madagascar, Japan, Mexico, Honduras;25329433;Agroecosystem;Terrestrial;Review;15;10;Low nutrient availability;Barrier;23; Intrinsic abiotic factors
147;Jose M. Rey Benayas;2008;Latin America, Sri Lanka, Madagascar, Japan, Mexico, Honduras;25329433;Agroecosystem;Terrestrial;Review;15;10;Biotic limitations;Barrier;24; Intrinsic biotic factors
19;Stephanie S. Romañach;2018;Global;54870139;Wetlands;Aquatic;Review;14;15;Local communities oposition to restoration program;Barrier;5; Societal integration
19;Stephanie S. Romañach;2018;Global;54870139;Wetlands;Aquatic;Review;14;15;Inadequate integration between local knowledge approach and scientific approach;Barrier;5; Societal integration
19;Stephanie S. Romañach;2018;Global;54870139;Wetlands;Aquatic;Review;14;15;Spatio-temporal mismatch between ecological scale production of ES and socioeconomical demand;Barrier;25; Spatial scale
19;Stephanie S. Romañach;2018;Global;54870139;Wetlands;Aquatic;Review;14;15;Spatio-temporal mismatch between ecological scale production of ES and socioeconomical demand;Barrier;18; Temporal scale of the restoration projects
19;Stephanie S. Romañach;2018;Global;54870139;Wetlands;Aquatic;Review;14;15;Large and diverse distributions of stakeholders;Barrier;5; Societal integration
19;Stephanie S. Romañach;2018;Global;54870139;Wetlands;Aquatic;Review;14;15;Overlapping marine and terrestrial areas with different regulations and jurisdictions;Barrier;4; Policies and governance
52;Johannes Kollmann;2016;USA, Europe, China, Australia, New Zealand;37157065;Several;All kinds;Review;224;15;Lack of specific information reported by reviewed articles;Barrier;12; Methodological limitations
52;Johannes Kollmann;2016;USA, Europe, China, Australia, New Zealand;37157065;Several;All kinds;Review;224;15;Reduced time span of the restoration projects;Barrier;18; Temporal scale of the restoration projects
52;Johannes Kollmann;2016;USA, Europe, China, Australia, New Zealand;37157065;Several;All kinds;Review;224;15;Over/under representation of some organisms in the functions monitoring;Barrier;15; Success assessment and evaluation
52;Johannes Kollmann;2016;USA, Europe, China, Australia, New Zealand;37157065;Several;All kinds;Review;224;15;Research gaps about some ecosystem functions;Barrier;10; Knowledge on ecosystem structure and function
53;Yanjiao Ren;2016;China;9596961;Grasslands;Terrestrial;Meta-Analysis;70;15;Uncertainity in restoration age influence;Barrier;10; Knowledge on ecosystem structure and function
53;Yanjiao Ren;2016;China;9596961;Grasslands;Terrestrial;Meta-Analysis;70;15;Lack of duration of restoration process and number of repeated actions data;Barrier;13; Research about restoration practices
53;Yanjiao Ren;2016;China;9596961;Grasslands;Terrestrial;Meta-Analysis;70;15;Lack of data reported about conditions prior to restoration project ;Barrier;12; Methodological limitations
53;Yanjiao Ren;2016;China;9596961;Grasslands;Terrestrial;Meta-Analysis;70;15;Limited funding;Barrier;6; Funding
53;Yanjiao Ren;2016;China;9596961;Grasslands;Terrestrial;Meta-Analysis;70;15;Lack of cost-effective analysis;Barrier;1; Socioeconomic knowledge
65;Renato Crouzeilles;2016;Global;54870139;Forests;Terrestrial;Meta-Analysis;7;15;Landscape context: 10 km around the disturbance site;Booster;25; Spatial scale
65;Renato Crouzeilles;2016;Global;54870139;Forests;Terrestrial;Meta-Analysis;7;15;Contiguous forest cover below 50%;Barrier;24; Intrinsic biotic factors
65;Renato Crouzeilles;2016;Global;54870139;Forests;Terrestrial;Meta-Analysis;7;15;Ecological compensation policies;Barrier;4; Policies and governance
86;María Paula Barral;2015;New Zealand, Puerto Rico, South Africa, Spain, Sweden, Switzerland, UK, USA, Australia, China, Ethiopia, Finland, Germany, Guinea, Irealnd, Italy, Mexico, The Netherlands;33868754;Agroecosystem;Terrestrial;Meta-Analysis;54;15;Analazying synergies between ES to quantify restoration outcomes;Booster;15; Success assessment and evaluation
86;María Paula Barral;2015;New Zealand, Puerto Rico, South Africa, Spain, Sweden, Switzerland, UK, USA, Australia, China, Ethiopia, Finland, Germany, Guinea, Irealnd, Italy, Mexico, The Netherlands;33868754;Agroecosystem;Terrestrial;Meta-Analysis;54;15;Lack of economical costs considerations;Barrier;1; Socioeconomic knowledge
86;María Paula Barral;2015;New Zealand, Puerto Rico, South Africa, Spain, Sweden, Switzerland, UK, USA, Australia, China, Ethiopia, Finland, Germany, Guinea, Irealnd, Italy, Mexico, The Netherlands;33868754;Agroecosystem;Terrestrial;Meta-Analysis;54;15;Limitations of the available data ;Barrier;12; Methodological limitations
86;María Paula Barral;2015;New Zealand, Puerto Rico, South Africa, Spain, Sweden, Switzerland, UK, USA, Australia, China, Ethiopia, Finland, Germany, Guinea, Irealnd, Italy, Mexico, The Netherlands;33868754;Agroecosystem;Terrestrial;Meta-Analysis;54;15;Creating habitats in field margins;Booster;14; Restoration techniques
86;María Paula Barral;2015;New Zealand, Puerto Rico, South Africa, Spain, Sweden, Switzerland, UK, USA, Australia, China, Ethiopia, Finland, Germany, Guinea, Irealnd, Italy, Mexico, The Netherlands;33868754;Agroecosystem;Terrestrial;Meta-Analysis;54;15;Lack of research in tropical areas;Barrier;8; Geographic bias
110;Xingliang Wang;2013;China;9596961;Forests;Terrestrial;Review;21;15;Wrong selection of tree species in reforestation program;Barrier;14; Restoration techniques
110;Xingliang Wang;2013;China;9596961;Forests;Terrestrial;Review;21;15;Lack of understanding of soil and water dynamics;Barrier;10; Knowledge on ecosystem structure and function
110;Xingliang Wang;2013;China;9596961;Forests;Terrestrial;Review;21;15;"""Restore as quickly as possible"" criteria";Barrier;16; Project planning and goal definition
110;Xingliang Wang;2013;China;9596961;Forests;Terrestrial;Review;21;15;Insufficient monitoring practises;Barrier;15; Success assessment and evaluation
113;CN Young;2012;Caribbean islands;2754000;Marine;Oceanic;Review;41;15;Structures damage by waves and storms;Barrier;23; Intrinsic abiotic factors
113;CN Young;2012;Caribbean islands;2754000;Marine;Oceanic;Review;41;15;Predation;Barrier;24; Intrinsic biotic factors
113;CN Young;2012;Caribbean islands;2754000;Marine;Oceanic;Review;41;15;Macroalgae accumulation;Barrier;24; Intrinsic biotic factors
113;CN Young;2012;Caribbean islands;2754000;Marine;Oceanic;Review;41;15;Sediment accumulation;Barrier;23; Intrinsic abiotic factors
113;CN Young;2012;Caribbean islands;2754000;Marine;Oceanic;Review;41;15;Stakeholders integration;Booster;5; Societal integration
113;CN Young;2012;Caribbean islands;2754000;Marine;Oceanic;Review;41;15;Local community involvement;Booster;5; Societal integration
113;CN Young;2012;Caribbean islands;2754000;Marine;Oceanic;Review;41;15;Funding restrictions;Barrier;6; Funding
113;CN Young;2012;Caribbean islands;2754000;Marine;Oceanic;Review;41;15;Low-cost methodologies;Booster;3; Economic costs of restoration
113;CN Young;2012;Caribbean islands;2754000;Marine;Oceanic;Review;41;15;Integration of ecosystem-based management and conservation;Booster;16; Project planning and goal definition
116;Diane De Steven;2012;Southeastern USA;2342793.5;Wetlands;Aquatic;Review;15;15;Lack of knowledge of reference site;Barrier;10; Knowledge on ecosystem structure and function
116;Diane De Steven;2012;Southeastern USA;2342793.5;Wetlands;Aquatic;Review;15;15;Incompatibility between project goals and site hydrogeomorphic limitations;Barrier;19; Context-specific factor consideration
116;Diane De Steven;2012;Southeastern USA;2342793.5;Wetlands;Aquatic;Review;15;15;Knowledge of wetland hydrogeomorphologic type;Booster;10; Knowledge on ecosystem structure and function
119;Eric T. Schultz;2012;UK, Greece, Japan, Taiwan, Manitoba (Canada);1437259;Several;Aquatic;Review;20;15;Lack of minimal standards for measurability of indicators;Barrier;15; Success assessment and evaluation
119;Eric T. Schultz;2012;UK, Greece, Japan, Taiwan, Manitoba (Canada);1437259;Several;Aquatic;Review;20;15;Lack of minimal standards for interpretability of indicators;Barrier;15; Success assessment and evaluation
141;Sammy L. King;2009;Southeastern USA;2342793.5;Wetlands;Aquatic;Review;25;15;Stratregies on planting;Booster;14; Restoration techniques
141;Sammy L. King;2009;Southeastern USA;2342793.5;Wetlands;Aquatic;Review;25;15;Lack of post-plantation management;Barrier;16; Project planning and goal definition
141;Sammy L. King;2009;Southeastern USA;2342793.5;Wetlands;Aquatic;Review;25;15;Levees or navigation structures;Barrier;21; Ongoing degradation
141;Sammy L. King;2009;Southeastern USA;2342793.5;Wetlands;Aquatic;Review;25;15;Lack of spatial scale considerations;Barrier;25; Spatial scale
153;Thamasak Yeemin;2006;Thailand;513120;Marine;Oceanic;Review;19;15;The cost–benefit analysis framework ;Booster;15; Success assessment and evaluation
153;Thamasak Yeemin;2006;Thailand;513120;Marine;Oceanic;Review;19;15;Economical cost;Barrier;3; Economic costs of restoration
153;Thamasak Yeemin;2006;Thailand;513120;Marine;Oceanic;Review;19;15;Problems in enforcing legislation and regulations. ;Barrier;4; Policies and governance
155;Baruch Rinkevich;2005;Global;54870139;Marine;Oceanic;Review;63;15;Unstable rubble makes unefective coral transplantation. ;Booster;14; Restoration techniques
155;Baruch Rinkevich;2005;Global;54870139;Marine;Oceanic;Review;63;15;Site-specific considerations in coral nurseries;Booster;19; Context-specific factor consideration
155;Baruch Rinkevich;2005;Global;54870139;Marine;Oceanic;Review;63;15;Use of different local coral species in coral nurseries;Booster;14; Restoration techniques
155;Baruch Rinkevich;2005;Global;54870139;Marine;Oceanic;Review;63;15;Lack of clear scientific goals ;Barrier;16; Project planning and goal definition
155;Baruch Rinkevich;2005;Global;54870139;Marine;Oceanic;Review;63;15;Lack of tools to assess restoration success ;Barrier;15; Success assessment and evaluation
155;Baruch Rinkevich;2005;Global;54870139;Marine;Oceanic;Review;63;15;Substrate stabilization by electrolysis may be the best option;Booster;14; Restoration techniques
157;Francine M. R. Hughes;2003;Nevada (USA), Alberta (USA), Colorado (USA), State of Victoria (Australia), South Africa, U.K., Slovakia, The Netherlands, Poland, Croatia, Czech Republic, Austria;3530611.7;Forests;Aquatic;Review;21;15;Mismatch between socioeconomic management and natural processes;Barrier;21; Ongoing degradation
157;Francine M. R. Hughes;2003;Nevada (USA), Alberta (USA), Colorado (USA), State of Victoria (Australia), South Africa, U.K., Slovakia, The Netherlands, Poland, Croatia, Czech Republic, Austria;3530611.7;Forests;Aquatic;Review;21;15;Lack of understanding of processes;Barrier;10; Knowledge on ecosystem structure and function
157;Francine M. R. Hughes;2003;Nevada (USA), Alberta (USA), Colorado (USA), State of Victoria (Australia), South Africa, U.K., Slovakia, The Netherlands, Poland, Croatia, Czech Republic, Austria;3530611.7;Forests;Aquatic;Review;21;15;Lack of international cooperation;Barrier;4; Policies and governance
76;Rebecca S. Barak;2016;North America;23633760;Several;All kinds;Review;33;16;Use of paleocology and evolutionary data;Booster;10; Knowledge on ecosystem structure and function
95;Paula Meli;2014;USA, Canada, Spain, Sweden, Austria, Australia, New Zealand, China, Kenya, Philippines, Honduras;38994130;Wetlands;Aquatic;Meta-Analysis;70;16;Lack of taxonomic resolution;Barrier;10; Knowledge on ecosystem structure and function
95;Paula Meli;2014;USA, Canada, Spain, Sweden, Austria, Australia, New Zealand, China, Kenya, Philippines, Honduras;38994130;Wetlands;Aquatic;Meta-Analysis;70;16;Lack of functional resolution;Barrier;10; Knowledge on ecosystem structure and function
95;Paula Meli;2014;USA, Canada, Spain, Sweden, Austria, Australia, New Zealand, China, Kenya, Philippines, Honduras;38994130;Wetlands;Aquatic;Meta-Analysis;70;16;Lack of understanding of biodiversity-ecosystem services relation;Barrier;10; Knowledge on ecosystem structure and function
95;Paula Meli;2014;USA, Canada, Spain, Sweden, Austria, Australia, New Zealand, China, Kenya, Philippines, Honduras;38994130;Wetlands;Aquatic;Meta-Analysis;70;16;Site-specific considerations during evaluation;Booster;15; Success assessment and evaluation
